prop,subj,obj,diff,tot
http://dbpedia.org/property/dynasty,http://dbpedia.org/resource/Nikephoros_I,http://dbpedia.org/resource/Nikephorian_dynasty,345,1259
http://dbpedia.org/property/club,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,diff,tot
http://dbpedia.org/property/president,http://dbpedia.org/resource/Sarvepalli_Radhakrishnan,obj,diff,tot
http://dbpedia.org/property/תפקידכשחקן,http://dbpedia.org/resource/Paul_Verhaegh,obj,diff,tot
http://dbpedia.org/property/debutagainst,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/Leicestershire_County_Cricket_Club,205,1721
http://dbpedia.org/property/issue,"http://dbpedia.org/resource/William_II,_Prince_of_Orange",http://dbpedia.org/resource/William_III_of_England,532,1838
http://dbpedia.org/property/mainInterests,http://dbpedia.org/resource/Sissela_Bok,obj,diff,tot
http://dbpedia.org/property/relatives,http://dbpedia.org/resource/Charles_Frederick_Williams,obj,diff,tot
http://dbpedia.org/property/appointer,http://dbpedia.org/resource/Patricia_A._Seitz,obj,diff,tot
http://dbpedia.org/property/church,http://dbpedia.org/resource/Paul_Ch'eng_Shih-kuang,obj,902,1896
http://dbpedia.org/property/fightingOutOf,http://dbpedia.org/resource/Hiroko_Yamanaka,http://dbpedia.org/resource/Japan,401,1918
http://dbpedia.org/property/fields,http://dbpedia.org/resource/Colin_Cherry,obj,diff,tot
http://dbpedia.org/property/stat3label,http://dbpedia.org/resource/Scott_Skiles,http://dbpedia.org/resource/Free_throw,248,1973
http://dbpedia.org/property/hometown,http://dbpedia.org/resource/Ria_Schiffner,obj,diff,tot
http://dbpedia.org/property/homeTown,http://dbpedia.org/resource/Walter_Diemer,obj,diff,tot
http://dbpedia.org/property/style,http://dbpedia.org/resource/Edwin_Rosario,http://dbpedia.org/resource/Orthodox_stance,455,1843
http://dbpedia.org/property/appointed,http://dbpedia.org/resource/Frank_Mahovlich,obj,51,687
http://dbpedia.org/property/youthclubs,http://dbpedia.org/resource/Paul_Verhaegh,obj,diff,tot
http://dbpedia.org/property/party,http://dbpedia.org/resource/Saad_Jumaa,obj,diff,tot
http://dbpedia.org/property/training,http://dbpedia.org/resource/Ang_Kiukok,obj,diff,tot
http://dbpedia.org/property/succession,"http://dbpedia.org/resource/William_II,_Prince_of_Orange",http://dbpedia.org/resource/Prince_of_Orange,800,1798
http://dbpedia.org/property/workplaces,http://dbpedia.org/resource/Colin_Cherry,http://dbpedia.org/resource/Hirst_Research_Centre,604,1956
http://dbpedia.org/property/classification,http://dbpedia.org/resource/Ben_Atkins,http://dbpedia.org/resource/List_of_Neighbours_characters,307,1912
http://dbpedia.org/property/strokes,http://dbpedia.org/resource/András_Baronyi,obj,467,1974
http://dbpedia.org/property/מדינה,http://dbpedia.org/resource/James_Callaghan,obj,diff,tot
http://dbpedia.org/property/species,http://dbpedia.org/resource/Lilith_(Supernatural),obj,66,1486
http://dbpedia.org/property/weight,http://dbpedia.org/resource/Shaun_Alexander,obj,diff,tot
http://dbpedia.org/property/influenced,http://dbpedia.org/resource/Cardis_Cardell_Willis,obj,diff,tot
http://dbpedia.org/property/trainer,http://dbpedia.org/resource/Hiroko_Yamanaka,obj,diff,tot
http://dbpedia.org/property/מקוםפטירה,http://dbpedia.org/resource/Ivan_Bagramyan,obj,diff,tot
http://dbpedia.org/property/order,http://dbpedia.org/resource/Norman_Kirk,obj,diff,tot
http://dbpedia.org/property/knownFor,http://dbpedia.org/resource/James_Colosimo,obj,diff,tot
http://dbpedia.org/property/honorificSuffix,http://dbpedia.org/resource/John_Michael_Uhrich,obj,673,1540
http://dbpedia.org/property/alongside,http://dbpedia.org/resource/Lawton_Chiles,http://dbpedia.org/resource/Richard_Stone_(politician),232,1601
http://dbpedia.org/property/almaMater,http://dbpedia.org/resource/Lawton_Chiles,obj,diff,tot
http://dbpedia.org/property/סוגה,http://dbpedia.org/resource/Queen_Latifah,obj,diff,tot
http://dbpedia.org/property/university,http://dbpedia.org/resource/Rob_Andrew,obj,diff,tot
http://dbpedia.org/property/nobleFamily,"http://dbpedia.org/resource/Philipp_Moritz,_Count_of_Hanau-Münzenberg",obj,487,1901
http://dbpedia.org/property/family,http://dbpedia.org/resource/George_Arbuthnot_Scott,obj,176,1841
http://dbpedia.org/property/currentTeam,http://dbpedia.org/resource/Willis_Wilson,http://dbpedia.org/resource/Texas_A&M–Corpus_Christi_Islanders_men's_basketball,diff,tot
http://dbpedia.org/property/playerTeam,http://dbpedia.org/resource/Jason_Garrett,obj,429,1926
http://dbpedia.org/property/occupation,http://dbpedia.org/resource/Rob_Andrew,obj,diff,tot
http://dbpedia.org/property/alliances,http://dbpedia.org/resource/Indra_(comics),http://dbpedia.org/resource/X-Mansion,420,1911
http://dbpedia.org/property/placeofburial,http://dbpedia.org/resource/John_Newton_(engineer),obj,diff,tot
http://dbpedia.org/property/originalteam,http://dbpedia.org/resource/Geoff_Leek,obj,120,1910
http://dbpedia.org/property/subject,http://dbpedia.org/resource/Cardis_Cardell_Willis,http://dbpedia.org/resource/Everyday_life,diff,tot
http://dbpedia.org/property/organization,http://dbpedia.org/resource/Ian_Hickson,http://dbpedia.org/resource/Netscape,252,1881
http://dbpedia.org/property/spouse,http://dbpedia.org/resource/Rob_Andrew,obj,diff,tot
http://dbpedia.org/property/currentSeries,http://dbpedia.org/resource/Maciej_Steinhof,http://dbpedia.org/resource/Volkswagen_Scirocco_R-Cup,144,800
http://dbpedia.org/property/relstyle,http://dbpedia.org/resource/Corrado_Pizziolo,obj,109,1195
http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/resource/David_VI_of_Georgia,obj,diff,tot
http://dbpedia.org/property/restingplace,http://dbpedia.org/resource/Jacob_Crowninshield,obj,diff,tot
http://dbpedia.org/property/allegiance,http://dbpedia.org/resource/Ivan_Bagramyan,obj,diff,tot
http://dbpedia.org/property/primeminister,http://dbpedia.org/resource/Sarvepalli_Radhakrishnan,obj,diff,tot
http://dbpedia.org/property/placeOfDeath,http://dbpedia.org/resource/Hubert_Turtill,obj,diff,tot
http://dbpedia.org/property/after,http://dbpedia.org/resource/James_Callaghan,http://dbpedia.org/resource/Margaret_Thatcher,339,1785
http://dbpedia.org/property/language,http://dbpedia.org/resource/Anya_Seton,obj,diff,tot
http://dbpedia.org/property/employer,http://dbpedia.org/resource/Helen_Kerly,obj,diff,tot
http://dbpedia.org/property/team,http://dbpedia.org/resource/Scott_Skiles,obj,diff,tot
http://dbpedia.org/property/playingTeam,http://dbpedia.org/resource/Marc-Olivier_Brouillette,http://dbpedia.org/resource/Montreal_Alouettes,285,1789
http://dbpedia.org/property/citizenship,http://dbpedia.org/resource/Henry_W._Lord,obj,diff,tot
http://dbpedia.org/property/ruPosition,http://dbpedia.org/resource/Rob_Andrew,obj,1057,1937
http://dbpedia.org/property/debutfor,http://dbpedia.org/resource/Rob_Andrew,obj,85,1732
http://dbpedia.org/property/origin,http://dbpedia.org/resource/Haim_Moshe,obj,diff,tot
http://dbpedia.org/property/state,http://dbpedia.org/resource/Lawton_Chiles,obj,56,1751
http://dbpedia.org/property/creators,http://dbpedia.org/resource/Nightcrawler_(comics),obj,diff,tot
http://dbpedia.org/property/deathPlace,http://dbpedia.org/resource/Hubert_Turtill,http://dbpedia.org/resource/France,diff,tot
http://dbpedia.org/property/movement,http://dbpedia.org/resource/Ang_Kiukok,obj,diff,tot
http://dbpedia.org/property/veneratedIn,http://dbpedia.org/resource/Raphael_Kalinowski,obj,diff,tot
